,HourlyDryBulbTemperature,HourlyVisibility,HourlyWindSpeed,HourlyWindDirection,HourlyPrecipitation
2023-07-13 13:56:00,0.6466666666666667,1.0,0.3031674208144796,0.3103103103103103,0.0
2023-07-13 14:26:00,0.6283333333333334,1.0,0.3506787330316742,0.3053053053053053,0.0
2023-07-13 14:56:00,0.6100000000000001,1.0,0.3981900452488688,0.3003003003003003,0.0
2023-07-13 15:26:00,0.6200000000000001,1.0,0.3981900452488688,0.3003003003003003,0.0
2023-07-13 15:56:00,0.63,1.0,0.3981900452488688,0.3003003003003003,0.0
2023-07-13 15:58:00,0.63,0.9971105449574349,0.3981900452488688,0.3003003003003003,0.0
2023-07-13 16:00:00,0.63,0.9942210899148698,0.3981900452488688,0.3003003003003003,0.0
2023-07-13 16:28:00,0.6016666666666667,0.9971105449574349,0.4095022624434389,0.3003003003003003,0.0
2023-07-13 16:56:00,0.5733333333333334,1.0,0.42081447963800905,0.3003003003003003,0.0
2023-07-13 17:26:00,0.545,1.0,0.3846153846153846,0.3053053053053053,0.0
2023-07-13 17:56:00,0.5166666666666667,1.0,0.34841628959276016,0.3103103103103103,0.0
2023-07-13 18:26:00,0.49,1.0,0.33710407239819007,0.3153153153153153,0.0
2023-07-13 18:56:00,0.4633333333333333,1.0,0.3257918552036199,0.3203203203203203,0.0
2023-07-13 19:26:00,0.44500000000000006,1.0,0.34841628959276016,0.3153153153153153,0.0
2023-07-13 19:56:00,0.42666666666666675,1.0,0.3710407239819004,0.3103103103103103,0.0
2023-07-13 20:26:00,0.40666666666666673,1.0,0.3846153846153846,0.3103103103103103,0.0
2023-07-13 20:56:00,0.38666666666666677,1.0,0.3981900452488688,0.3103103103103103,0.0
2023-07-13 21:26:00,0.3783333333333334,1.0,0.3846153846153846,0.3103103103103103,0.0
2023-07-13 21:56:00,0.3700000000000001,1.0,0.3710407239819004,0.3103103103103103,0.0
2023-07-13 21:58:00,0.3700000000000001,0.9971105449574349,0.3710407239819004,0.3103103103103103,0.0
2023-07-13 22:00:00,0.3700000000000001,0.9942210899148698,0.3710407239819004,0.3103103103103103,0.0
2023-07-13 22:28:00,0.3700000000000001,0.9971105449574349,0.33710407239819,0.3103103103103103,0.0
2023-07-13 22:56:00,0.3700000000000001,1.0,0.3031674208144796,0.3103103103103103,0.0
2023-07-13 23:26:00,0.3700000000000001,1.0,0.28054298642533937,0.3053053053053053,0.0
2023-07-13 23:56:00,0.3700000000000001,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-13 23:58:00,0.3700000000000001,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-14 00:00:00,0.3700000000000001,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-14 00:05:00,0.3700000000000001,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-14 00:10:00,0.3700000000000001,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-14 00:33:00,0.3700000000000001,1.0,0.2443438914027149,0.3003003003003003,0.0
2023-07-14 00:56:00,0.3700000000000001,1.0,0.23076923076923073,0.3003003003003003,0.0
2023-07-14 01:26:00,0.3700000000000001,1.0,0.2443438914027149,0.3003003003003003,0.0
2023-07-14 01:56:00,0.3700000000000001,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-14 02:26:00,0.3600000000000001,1.0,0.2443438914027149,0.3053053053053053,0.0
